"id","siglum","shelfmark","repositoryPlaceId","currentRepository","lat","lon","date","folios","group","origin","witnessType","sourceLabel","digitalUrl","iiifUrl","description","bibliography","openatlasClass","systemClass"
"ms-hre-x-src","SRC","Rome (Curia / Vatican), source tradition anchor","repo-vatican-bav","Rome (Curia / Vatican), source tradition anchor","41.904","12.4545","ca. 1100","","reference","Rome / Papal Curia context","reference","","","","Geographic anchor inferred from HRE source dateline place: Rome.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-x-a","A","Vatican City, BAV, Vat. lat. 8486","repo-vatican-bav","Biblioteca Apostolica Vaticana","41.904","12.4545","ca. 1100-1192","","manuscript","Rome (Papal Curia)","primary","","https://digi.vatlib.it/view/MSS_Vat.lat.8486","https://digi.vatlib.it/iiif/MSS_Vat.lat.8486/manifest.json","Liber Censuum; contains Ordo Romanus coronationis (Cencius I, HRE-X).","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
