"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-leopold-legg","Leopold G. Wickham Legg","E21 Person","actor","editor","editor of English Coronation Records",""
"actor-english-coronation-tradition","English coronation tradition","E74 Group","actor","institution","ritual and documentary tradition","place-westminster-abbey"
"actor-westminster-abbey","Westminster Abbey","E74 Group","actor","institution","coronation church / institutional context","place-westminster-abbey"
"actor-columba","St Columba","E21 Person","actor","person","saint / consecrating figure",""
"actor-henry-iv","Henry IV","E21 Person","actor","person","royal coronation context",""
"actor-victoria","Queen Victoria","E21 Person","actor","person","royal coronation context",""
"actor-thomas-becket","Thomas Becket","E21 Person","actor","person","Archbishop of Canterbury",""
"actor-canterbury","Archbishopric of Canterbury","E74 Group","actor","institution","claimant/coronation authority","place-canterbury"
