"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-arles-church","Arles ecclesiastical milieu","E74 Group","actor","institution","episcopal / liturgical context","place-arles",""
"actor-british-library","British Library","E74 Group","actor","institution","repository institution / digital provider","repo-london-british-library",""
"actor-charles-v-france","Charles V of France","E21 Person","actor","person","royal patron / former owner","place-paris",""
