"id","label","openatlasClass","systemClass","type","manuscriptId","placeId","start","end","description","certainty"
"event-ms-ocf-xxi-a-current-repository","A kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxi-a","repo-paris-bnf","","","Paris, BnF, MS lat. 1246 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxi-a-origin-reims","A origin/context: Reims","E12 Production","production","copying_or_origin","ms-ocf-xxi-a","place-reims","ca. 1250","ca. 1250","Paris, BnF, MS lat. 1246: origin/context recorded as ""Reims (text) / Paris (illumination)"".","probable"
"event-ms-ocf-xxi-a-origin-paris","A origin/context: Paris","E12 Production","production","copying_or_origin","ms-ocf-xxi-a","place-paris","ca. 1250","ca. 1250","Paris, BnF, MS lat. 1246: origin/context recorded as ""Reims (text) / Paris (illumination)"".","probable"
"event-ms-ocf-xxi-b-current-repository","B kept at Paris, Bibl. de l'Institut de France","E7 Activity","activity","current_repository","ms-ocf-xxi-b","repo-paris-bibl-de-l-institut-de-france","","","Paris, Bibl. de l'Institut de France, MS Godefroy 380 is currently kept at Paris, Bibl. de l'Institut de France.","certain"
