"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-biblissima","Biblissima","E74 Group","actor","source","digital source aggregator","",""
"actor-sens-cathedral","Sens Cathedral / Library","E74 Group","actor","institution","cathedral repository / origin context","repo-sens-bibl-mun",""
