"id","label","lat","lon","type","openatlasClass","description"
"place-westminster-abbey","Westminster Abbey","51.4993","-0.1273","ritual_place","E53 Place","Principal English coronation church."
"place-york","York / archiepiscopal context","53.959","-1.0815","institutional_context","E53 Place",""
"place-iona","Iona","56.335","-6.393","ritual_place","E53 Place",""
"place-scotland-context","Scottish royal context","56.49","-4.2","political_context","E53 Place",""
"repo-rouen-bm","Rouen, Bibliothèque municipale","49.4432","1.0999","repository_place","E53 Place",""
"place-winchester","Winchester ecclesiastical context","51.0629","-1.3165","origin_context","E53 Place",""
"repo-paris-bnf","Paris, Bibliothèque nationale de France","48.8339","2.3757","repository_place","E53 Place",""
"place-wessex-context","Southern England / Wessex context","51","-1.3","origin_context","E53 Place",""
