"id","siglum","shelfmark","repositoryPlaceId","currentRepository","lat","lon","date","folios","group","origin","witnessType","sourceLabel","digitalUrl","iiifUrl","iiif_url","iiif_manifest_url","embedded_viewer_url","description","bibliography","openatlasClass","systemClass"
"ms-ecr-ii-a","A","Rouen, Bibl. mun., MS 369 (Y.7)","repo-rouen-bm","Rouen, Bibl. mun.","49.4432","1.0999","10th century","","primary","Winchester","primary","Rotomagus / Rouen","https://www.rotomagus.fr/ark:/12148/btv1b100508259","","","","","Benedictional/Pontifical of Winchester (dit B�n�dictionnaire de Robert). Best text of the oldest English coronation service.","Leopold G. Wickham Legg (ed.), English Coronation Records (Westminster: Archibald Constable, 1901).","E22 Human-Made Object","artifact"
"ms-ecr-ii-b","B","Paris, BnF, MS lat. 10575","repo-paris-bnf","Paris, BnF","48.8339","2.3757","10th-11th century","","secondary","Southern England (Wessex?)","secondary","Gallica / BnF","https://gallica.bnf.fr/ark:/12148/btv1b90667571","","","","","Pontifical of Egbert (so-called). Copy of the pontifical of Egbert, Archbishop of York (732-766).","Leopold G. Wickham Legg (ed.), English Coronation Records (Westminster: Archibald Constable, 1901).","E22 Human-Made Object","artifact"
