"id","label","openatlasClass","systemClass","type","manuscriptId","placeId","start","end","description","certainty"
"event-ms-ocf-xxv-a-current-repository","A kept at London, British Library","E7 Activity","activity","current_repository","ms-ocf-xxv-a","repo-london-british-library","","","London, British Library, MS Arundel 149 is currently kept at London, British Library.","certain"
"event-ms-ocf-xxv-b-current-repository","B kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xxv-b","repo-paris-bnf","","","Paris, BnF, MS nouv. acq. fr. 7232 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xxv-b-origin-brienne-collection-context","B origin/context: Brienne collection context","E12 Production","production","copying_or_origin","ms-ocf-xxv-b","place-brienne-collection-context","17th century, first half","17th century, first half","Paris, BnF, MS nouv. acq. fr. 7232: origin/context recorded as ""From Brienne collection"".","possible"
"event-ms-ocf-xxv-c-current-repository","C kept at Paris, Bibl. de l'Institut de France","E7 Activity","activity","current_repository","ms-ocf-xxv-c","repo-paris-bibl-de-l-institut-de-france","","","Paris, Bibl. de l'Institut de France, MS Godefroy 381 is currently kept at Paris, Bibl. de l'Institut de France.","certain"
"event-ms-ocf-xxv-d-current-repository","D kept at Paris, Bibl. de l'Arsenal","E7 Activity","activity","current_repository","ms-ocf-xxv-d","repo-paris-bibl-de-l-arsenal","","","Paris, Bibl. de l'Arsenal, MS 4227 is currently kept at Paris, Bibl. de l'Arsenal.","certain"
