"id","label","openatlasClass","systemClass","type","lat","lon","certainty","note"
"place-braga","Braga","E53 Place","place","ecclesiastical_context","41.551","-8.422","probable","Origin/context place parsed from ""Archbishopric of Braga""."
"repo-brussels-bibl-roy-albert-ier","Brussels, Bibl. roy. Albert Ier","E53 Place","place","repository_place","50.8427","4.361","certain","Current repository inferred from shelfmark: Brussels, Bibl. roy. Albert Ier, MS 2067-73"
"repo-leiden-rijksuniversiteit-bibl","Leiden, Rijksuniversiteit Bibl.","E53 Place","place","repository_place","52.1574","4.4854","certain","Current repository inferred from shelfmark: Leiden, Rijksuniversiteit Bibl., MS Vossianus lat. Q. 13"
"repo-lisbon-bibl-nac","Lisbon, Bibl. Nac.","E53 Place","place","repository_place","38.7361","-9.1461","certain","Current repository inferred from shelfmark: Lisbon, Bibl. Nac., MS Alcobacen 162"
"place-milan","Milan","E53 Place","place","scriptorium_or_origin_place","45.464","9.19","probable","Origin/context place parsed from ""Milan""."
"repo-milan-biblioteca-del-capitolo-metropolitano","Milan, Biblioteca del Capitolo Metropolitano","E53 Place","place","repository_place","45.4642","9.19","certain","Current repository inferred from shelfmark: Milan, Biblioteca del Capitolo Metropolitano, MS D 1-11"
"place-monte-cassino","Monte Cassino","E53 Place","place","scriptorium_or_origin_place","41.49","13.813","probable","Origin/context place parsed from ""Monte Cassino""."
"place-sens","Sens","E53 Place","place","scriptorium_or_origin_place","48.198","3.283","probable","Origin/context place parsed from ""Province of Sens?""."
"repo-vatican-city-bav","Vatican City, BAV","E53 Place","place","repository_place","41.9022","12.4539","certain","Current repository inferred from shelfmark: Vatican City, BAV, MS Barb. lat. 631"
