"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-reinhard-elze","Reinhard Elze","E21 Person","actor","editor","editor of Ordines Coronationis Imperialis",""
"actor-hre-imperial-tradition","Holy Roman imperial coronation tradition","E74 Group","actor","institution","political-liturgical context",""
"actor-bologna-context","Bologna context","E74 Group","actor","institution","textual or production context","place-bologna-context"
"actor-guillaume-durand","Guillaume Durand","E21 Person","actor","person","author/compiler of pontifical tradition","place-rome-curia-context"
"actor-charles-v","Charles V","E21 Person","actor","person","imperial coronation actor",""
"actor-blasius-de-cesena","Blasius de Cesena","E21 Person","actor","person","compiler / papal master of ceremonies","place-bologna-context"
