"id","siglum","label","openatlasClass","systemClass","type","witnessType","shelfmark","folios","date","origin","currentRepositoryId","currentRepository","copiedFrom","digitalUrl","iiifUrl","sourceLabel","description","bibliography"
"ms-ocf-xii-a","A","A — Angers, Bibl. mun., MS 80","E22 Human-Made Object","artifact","manuscript_witness","primary","Angers, Bibl. mun., MS 80","fols. 158v–59r","Second half or end of 9th century","Poitiers or Tours","repo-angers-bibl-mun","Angers, Bibl. mun.","","https://portail.biblissima.fr/fr/ark:/43093/mdatac71d6f77be2ec5ff8a915c93ef79e991deefbc47","https://portail.biblissima.fr/iiif/collection/ark:/43093/mdatac71d6f77be2ec5ff8a915c93ef79e991deefbc47","Biblissima / Angers BM MS 80","Pontifical of Saint-Aubin of Angers. Nos. 1 and 3 only. | Additional links: ARCA viewer https://arca.irht.cnrs.fr/ark:/63955/md23vt152k6d ; IIIF member manifests: https://api.irht.cnrs.fr/ark:/63955/frcgxmh16hjj/manifest.json and https://api.irht.cnrs.fr/ark:/63955/f6vplgnj32m9/manifest.json .","Leroquais, Pontificaux, 1: 25–2"
"ms-ocf-xii-b","B","B — Paris, BnF, MS lat. 9430","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 9430","fol. 190r","ca. 900","Tours","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b8422986v","https://gallica.bnf.fr/iiif/ark:/12148/btv1b8422986v/manifest.json","Gallica / BnF (MS lat. 9430)","Part of the second sacramentary of Tours. | Additional catalog links: BnF Archives et manuscrits https://archivesetmanuscrits.bnf.fr/ark:/12148/cc38708p ; Biblissima resource https://portail.biblissima.fr/fr/ark:/43093/mdatad4184d7024d2dd1f49b535644af5da61dbc3 .",""
