"subject","predicate","object","certainty","source"
"ms-ocf-vii-f","cited_by","ref-sirmond-1623","certain","edition"
"ms-ocf-vii-g","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-vii-g","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-vii-g","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"ms-ocf-vii-g","has_reference","ref-ms-ocf-vii-g-digital","certain","digital_facsimile"
"ms-ocf-vii-g","cited_by","ref-sirmond-1623","certain","edition"
"OCF-VII","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-VII","preserved_in","ms-ocf-vii-lost-ms-1","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-lost-ms-2","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-lost-ms-3","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-lost-ms-4","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-lost-ms-5","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-a","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-b","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-c","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-d","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-e","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-f","certain","OCF-VII witness list"
"OCF-VII","preserved_in","ms-ocf-vii-g","certain","OCF-VII witness list"
"OCF-VII","edited_by","actor-jacques-sirmond","certain","edition tradition"
