"id","label","manuscriptId","fromPlaceId","toPlaceId","start","end","certainty","type"
"move-ms-ocf-vii-a-italian-capitulary-tradition-to-vatican-city-bav","A: Italian capitulary tradition → Vatican City, BAV","ms-ocf-vii-a","place-italian-capitulary-tradition","repo-vatican-city-bav","First half of 16th century","","possible","manuscript_dispersal"
"move-ms-ocf-vii-b-italian-capitulary-tradition-to-rome-biblioteca-vallicelliana","B: Italian capitulary tradition → Rome, Biblioteca Vallicelliana","ms-ocf-vii-b","place-italian-capitulary-tradition","repo-rome-biblioteca-vallicelliana","16th century (third quarter)","","possible","manuscript_dispersal"
"move-ms-ocf-vii-c-modena-to-vatican-city-bav","C: Modena → Vatican City, BAV","ms-ocf-vii-c","place-modena","repo-vatican-city-bav","17th century","","probable","manuscript_dispersal"
"move-ms-ocf-vii-d-annales-bertiniani-tradition-to-saint-omer-bibliotheque-d-agglomeration","D: Annales Bertiniani tradition → Saint-Omer, Bibliotheque d'agglomeration","ms-ocf-vii-d","place-annales-bertiniani-tradition","repo-saint-omer-bibliotheque-d-agglomeration","ca. 1000","","possible","manuscript_dispersal"
"move-ms-ocf-vii-e-annales-bertiniani-tradition-to-brussels-bibliotheque-royale","E: Annales Bertiniani tradition → Brussels, Bibliotheque royale","ms-ocf-vii-e","place-annales-bertiniani-tradition","repo-brussels-bibliotheque-royale","11th century","","possible","manuscript_dispersal"
"move-ms-ocf-vii-f-continuation-of-aimoin-tradition-to-paris-bnf","F: Continuation of Aimoin tradition → Paris, BnF","ms-ocf-vii-f","place-continuation-of-aimoin-tradition","repo-paris-bnf","End of 11th century","","possible","manuscript_dispersal"
"move-ms-ocf-vii-g-continuation-of-aimoin-tradition-to-paris-bnf","G: Continuation of Aimoin tradition → Paris, BnF","ms-ocf-vii-g","place-continuation-of-aimoin-tradition","repo-paris-bnf","13th century","","possible","manuscript_dispersal"
