"id","label","lat","lon","type","openatlasClass","description"
"place-reims-context","Reims textual-context anchor","49.2583","4.0317","origin_context","E53 Place",""
"place-reims-source-tradition-anchor","Reims, source tradition anchor","49.2583","4.0317","origin_context","E53 Place",""
