"id","siglum","label","openatlasClass","systemClass","type","witnessType","shelfmark","folios","date","origin","currentRepositoryId","currentRepository","copiedFrom","digitalUrl","iiifUrl","sourceLabel","description","bibliography"
"ms-ocf-xviia-a","A","A — Vatican City, BAV, MS Ottoboniani lat. 811","E22 Human-Made Object","artifact","manuscript_witness","primary","Vatican City, BAV, MS Ottoboniani lat. 811","fols. 113r?114r","ca. 1100","","repo-vatican-city-bav","Vatican City, BAV","","","","","Only surviving medieval manuscript of the complete text; possibly, but not certainly, identical with the lost Beauvais witness (lost MS 2).","Les manuscrits de la reine de Suede (1964), no. 1807; Pellegrin et al., Manuscrits classiques latins, 1:447-49"
"ms-ocf-xviia-lost-mss-1-5","Lost MSS 1?5","Lost MSS 1?5 — Multiple lost witnesses (Reims / Beauvais / Toul / Sirmond) [LOST]","E22 Human-Made Object","artifact","manuscript_witness","lost","Multiple lost witnesses (Reims / Beauvais / Toul / Sirmond) [LOST]","Unknown (lost manuscripts)","Unknown","","repo-multiple-lost-witnesses-reims-beauvais-toul-sirmond-lost","Multiple lost witnesses (Reims / Beauvais / Toul / Sirmond) [LOST]","","","","","Multiple lost manuscripts mentioned by Jackson: Reims (lost MS 1), Beauvais cathedral (lost MS 2), Toul / Andre du Saussay (lost MS 3), Jacques Sirmond (lost MS 4), and Chantoine (lost MS 5).",""
