"id","label","openatlasClass","systemClass","type","manuscriptId","placeId","start","end","description","certainty"
"event-ms-ocf-xviia-a-current-repository","A kept at Vatican City, BAV","E7 Activity","activity","current_repository","ms-ocf-xviia-a","repo-vatican-city-bav","","","Vatican City, BAV, MS Ottoboniani lat. 811 is currently kept at Vatican City, BAV.","certain"
"event-ms-ocf-xviia-lost-mss-1-5-current-repository","Lost MSS 1?5 kept at Multiple lost witnesses (Reims / Beauvais / Toul / Sirmond) [LOST]","E7 Activity","activity","lost_witness_reported_location","ms-ocf-xviia-lost-mss-1-5","repo-multiple-lost-witnesses-reims-beauvais-toul-sirmond-lost","","","Multiple lost witnesses (Reims / Beauvais / Toul / Sirmond) [LOST] is currently kept at Multiple lost witnesses (Reims / Beauvais / Toul / Sirmond) [LOST].","certain"
