"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-bsb","Bayerische Staatsbibliothek","E74 Group","actor","institution","repository institution / digital provider","repo-munich-bayerische-staatsbibl",""
"actor-michel-andrieu","Michel Andrieu","E21 Person","actor","editor","editor of Ordines Romani","",""
"actor-sankt-emmeram","Sankt Emmeram Abbey, Regensburg","E74 Group","actor","institution","monastic scriptorium / origin context","place-sankt-emmeram-regensburg",""
