"id","manuscriptId","fromPlaceId","toPlaceId","start","end","certainty","description"
"move-ms-hre-viii-src","ms-hre-viii-src","place-mainz-context","place-mainz-source-tradition-anchor","ca. 1000","ca. 1000","derived","Research context line for SRC: Mainz? textual-context anchor -> Mainz, source tradition anchor."
"move-ms-hre-viii-a","ms-hre-viii-a","place-mainz-context","repo-milan-ambrosiana","11th century","11th century","derived","Research context line for A: Mainz? textual-context anchor -> Milan, Biblioteca Ambrosiana."
"move-ms-hre-viii-b","ms-hre-viii-b","place-mainz-context","repo-merseburg-cathedral","11th century","11th century","derived","Research context line for B: Mainz? textual-context anchor -> Merseburg Cathedral, MS 57."
"move-ms-hre-viii-c1","ms-hre-viii-c1","place-mainz-context","place-augsburg-context","11th century","11th century","derived","Research context line for C1: Mainz? textual-context anchor -> Augsburg, Bischöfliches Ordinariat."
"move-ms-hre-viii-c2","ms-hre-viii-c2","place-mainz-context","repo-munich-bsb","12th century","12th century","derived","Research context line for C2: Mainz? textual-context anchor -> Munich, BSB."
