"id","siglum","shelfmark","repositoryPlaceId","currentRepository","lat","lon","date","folios","group","origin","witnessType","sourceLabel","digitalUrl","iiifUrl","description","bibliography","openatlasClass","systemClass"
"ms-hre-viii-src","SRC","Mainz, source tradition anchor","place-mainz-source-tradition-anchor","Mainz, source tradition anchor","50","8.2711","ca. 1000","","reference","Mainz? textual-context anchor","reference","","","","Geographic anchor inferred from HRE source dateline place: Mainz?.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-viii-a","A","Milan, Biblioteca Ambrosiana, MS Z 52 sup.","repo-milan-ambrosiana","Milan, Biblioteca Ambrosiana","45.4642","9.19","11th century","fols. 146r-148r","A","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-viii-b","B","Merseburg Cathedral, MS 57","repo-merseburg-cathedral","Merseburg Cathedral, MS 57","51.3579","11.9941","11th century","fols. 33r-35v","B","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-viii-c1","C1","Augsburg, Bischöfliches Ordinariat, MS 21","place-augsburg-context","Augsburg, Bischöfliches Ordinariat","48.3705","10.8978","11th century","fols. 46r-47v","C","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-viii-c2","C2","Munich, BSB, Clm 3909","repo-munich-bsb","Munich, BSB","48.1486","11.5802","12th century","fols. 1r-2r","C","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
