"subject","predicate","object","certainty","source"
"HRE-XXA","belongs_to_tradition","tradition-hre","certain","HRE XI-XXVIIA pilot"
"HRE-XXA","edited_by","actor-reinhard-elze","certain","HRE XI-XXVIIA pilot"
"HRE-XXA","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"HRE-XXA","preserved_in","ms-hre-xxa-src","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxa-src","has_event","event-ms-hre-xxa-src-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxa-src","located_at","repo-vatican-bav","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxa-src","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxa-src","associated_with","actor-hre-imperial-tradition","probable","HRE XI-XXVIIA pilot"
"ms-hre-xxa-src","associated_with","actor-rome-papal-curia-context","derived","HRE XI-XXVIIA pilot"
