"id","label","openatlasClass","systemClass","type","url","description"
"ref-ms-ocf-xix-b-bib-1","Leroquais, Pontificaux, 1: 80–6, no. 27","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Besançon, Bibl. mun., MS 138."
"ref-ms-ocf-xix-a-bib-1","Leroquais, Pontificaux, 2: 282–5, no. 186","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Reims, Bibl. mun., MS 343."
