"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-beauvais-church","Beauvais ecclesiastical milieu","E74 Group","actor","institution","episcopal / liturgical context","place-beauvais",""
"actor-reims-cathedral","Reims Cathedral / Chapter Library","E74 Group","actor","institution","cathedral repository / coronation center","place-reims",""
"actor-victor-leroquais","Victor Leroquais","E21 Person","actor","editor","cataloguer / scholar","place-paris",""
