"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-bnf","Bibliothèque nationale de France (BnF)","E74 Group","actor","institution","repository institution / digital provider","repo-paris-bnf","Current repository institution for both extant OCF-I witnesses in this pilot."
"actor-abbey-gellone","Abbey of Gellone","E74 Group","actor","institution","monastic scriptorium / origin context","place-abbey-of-gellone-saint-guilhem-le-desert","Probable monastic context of the Sacramentary of Gellone witness."
"actor-luc-d-achery","Luc d'Achery","E21 Person","actor","person","copyist / Maurist scholar","place-paris","Recorded copying context for OCF-I witness B."
"actor-leopold-delisle","Léopold Delisle","E21 Person","actor","editor","scholar / bibliographic authority","place-paris","Cited through Delisle, 'Mémoire,' 80-1."
"actor-jean-deshusses","Jean Deshusses","E21 Person","actor","editor","modern editor","","Cited edition of the Sacramentary of Gellone."
