"id","label","entity_type","openatlas_class","tradition","tradition_context","date","prg_number","alt_id","source_xml","description"
"PRG-161","Missa in anniversario unius defuncti.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXI","(PRG n. CLXI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 769)","CARo - Pontifical Romano-Germanique.XML","Missa in anniversario unius defuncti. (PRG-161)"
"PRG-162","Missa in anniversario.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXII","(PRG n. CLXII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 770)","CARo - Pontifical Romano-Germanique.XML","Missa in anniversario. (PRG-162)"
"PRG-163","Missa * pro episcopo defuncto.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXIII","(PRG n. CLXIII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 771)","CARo - Pontifical Romano-Germanique.XML","Missa * pro episcopo defuncto. (PRG-163)"
"PRG-164","Missa pro sacerdote defuncto.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXIV","(PRG n. CLXIV; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 771)","CARo - Pontifical Romano-Germanique.XML","Missa pro sacerdote defuncto. (PRG-164)"
"PRG-165","Missa pro defuncta femina.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXV","(PRG n. CLXV; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 772)","CARo - Pontifical Romano-Germanique.XML","Missa pro defuncta femina. (PRG-165)"
"PRG-166","Missa plurimorum defunctorum.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXVI","(PRG n. CLXVI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 773)","CARo - Pontifical Romano-Germanique.XML","Missa plurimorum defunctorum. (PRG-166)"
"PRG-167","In agenda conditoris aecclesiae.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXVII","(PRG n. CLXVII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 773)","CARo - Pontifical Romano-Germanique.XML","In agenda conditoris aecclesiae. (PRG-167)"
"PRG-168","In vigilia defunctorum sermo sancti Augustini epi","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXVIII","(PRG n. CLXVIII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 774)","CARo - Pontifical Romano-Germanique.XML","In vigilia defunctorum sermo sancti Augustini epi (PRG-168)"
"PRG-169","Item lectiones sancti Gregorii in vigilia defunctorum.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXIX","(PRG n. CLXIX; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 775)","CARo - Pontifical Romano-Germanique.XML","Item lectiones sancti Gregorii in vigilia defunctorum. (PRG-169)"
"PRG-170","Sermo beati Cecilii Cypriani episcopi.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXX","(PRG n. CLXX; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 779)","CARo - Pontifical Romano-Germanique.XML","Sermo beati Cecilii Cypriani episcopi. (PRG-170)"
