"id","siglum","displaySiglum","label","openatlasClass","systemClass","type","witnessType","shelfmark","folios","date","origin","currentRepositoryId","currentRepository","copiedFrom","digitalUrl","iiifUrl","sourceLabel","description","bibliography"
"ms-ocf-xxiv-a","A","A","A — Paris, BnF, MS fr. 8334","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS fr. 8334","fols. 47r–0v","1626","","repo-paris-bnf","Paris, BnF","","","","","Only surviving complete manuscript. Collection for a history of Reims, copied from lost MS 1. Sent to André Duchesne by Jean Rogier l'Aîné.",""
"ms-ocf-xxiv-b","B","B","B — Reims, Bibl. mun., MS 1651 (nouv. fonds)","E22 Human-Made Object","artifact","manuscript_witness","secondary","Reims, Bibl. mun., MS 1651 (nouv. fonds)","fols. 11v–4r","18th century","","repo-reims-bibl-mun","Reims, Bibl. mun.","","","","","Partial only. Copied from lost MS 1.",""
"ms-ocf-xxiv-c","C","C","C — Reims, Bibl. mun., MS 1489 (nouv. fonds), no. 9","E22 Human-Made Object","artifact","manuscript_witness","copy","Reims, Bibl. mun., MS 1489 (nouv. fonds), no. 9","fols. 193v–97v","18th century","","repo-reims-bibl-mun","Reims, Bibl. mun.","","","","","Partial. Copied from B.",""
"ms-ocf-xxiv-d","D","D","D — Reims, Bibl. mun., MS 1490 (nouv. fonds), no. 5","E22 Human-Made Object","artifact","manuscript_witness","copy","Reims, Bibl. mun., MS 1490 (nouv. fonds), no. 5","pp. 16–3","18th century","","repo-reims-bibl-mun","Reims, Bibl. mun.","","","","","Partial. Copied from B or C.",""
