"id","label","openatlasClass","systemClass","type","manuscriptId","placeId","start","end","description","certainty"
"event-ms-ocf-xvi-a-current-repository","A kept at Cologne, Erzbischöfliche Diözesan- und Dombibl.","E7 Activity","activity","current_repository","ms-ocf-xvi-a","repo-cologne-erzbischo-fliche-dio-zesan-und-dombibl","","","Cologne, Erzbischöfliche Diözesan- und Dombibl., MS 141 is currently kept at Cologne, Erzbischöfliche Diözesan- und Dombibl..","certain"
"event-ms-ocf-xvi-a-origin-cambrai","A origin/context: Cambrai","E12 Production","production","copying_or_origin","ms-ocf-xvi-a","place-cambrai","First half of 11th century","First half of 11th century","Cologne, Erzbischöfliche Diözesan- und Dombibl., MS 141: origin/context recorded as ""Benedictine monastery in diocese of Cambrai (archdiocese of Reims)"".","probable"
"event-ms-ocf-xvi-a-origin-reims","A origin/context: Reims","E12 Production","production","copying_or_origin","ms-ocf-xvi-a","place-reims","First half of 11th century","First half of 11th century","Cologne, Erzbischöfliche Diözesan- und Dombibl., MS 141: origin/context recorded as ""Benedictine monastery in diocese of Cambrai (archdiocese of Reims)"".","probable"
"event-ms-ocf-xvi-b-current-repository","B kept at Bamberg, Staatsbibl.","E7 Activity","activity","current_repository","ms-ocf-xvi-b","repo-bamberg-staatsbibl","","","Bamberg, Staatsbibl., MS Msc. Lit. 56 is currently kept at Bamberg, Staatsbibl..","certain"
