"id","siglum","shelfmark","repositoryPlaceId","currentRepository","lat","lon","date","folios","group","origin","witnessType","sourceLabel","digitalUrl","iiifUrl","description","bibliography","openatlasClass","systemClass"
"ms-hre-xiv-src","SRC","Rome (Curia / Vatican), source tradition anchor","repo-vatican-bav","Rome (Curia / Vatican), source tradition anchor","41.904","12.4545","1st half of 12th century","","reference","Rome / Papal Curia context","reference","","","","Geographic anchor inferred from HRE source dateline place: Curia.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-xiv-a","A","Vatican City, BAV, Vat. lat. 4747","repo-vatican-bav","Biblioteca Apostolica Vaticana","41.904","12.4545","1st half 12th century","","manuscript","Rome (Papal Curia)","primary","","https://digi.vatlib.it/view/MSS_Vat.lat.4747","https://digi.vatlib.it/iiif/MSS_Vat.lat.4747/manifest.json","Principal witness for Cencius II (HRE-XIV).","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
