"id","manuscriptId","fromPlaceId","toPlaceId","start","end","certainty","description"
"move-ms-hre-xiv-src","ms-hre-xiv-src","place-rome-curia-context","repo-vatican-bav","1st half of 12th century","1st half of 12th century","derived","Research context line for SRC: Rome / Papal Curia context -> Rome (Curia / Vatican), source tradition anchor."
"move-ms-hre-xiv-a","ms-hre-xiv-a","place-rome-curia-context","repo-vatican-bav","1st half 12th century","1st half 12th century","probable","Research context line for A: Rome / Papal Curia context -> Biblioteca Apostolica Vaticana."
