"subject","predicate","object","certainty","source"
"HRE-XIII","belongs_to_tradition","tradition-hre","certain","HRE XI-XXVIIA pilot"
"HRE-XIII","edited_by","actor-reinhard-elze","certain","HRE XI-XXVIIA pilot"
"HRE-XIII","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"HRE-XIII","preserved_in","ms-hre-xiii-src","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiii-src","has_event","event-ms-hre-xiii-src-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiii-src","located_at","place-milan-northern-italy-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiii-src","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiii-src","associated_with","actor-hre-imperial-tradition","probable","HRE XI-XXVIIA pilot"
"ms-hre-xiii-src","associated_with","actor-milan-northern-italy-context","derived","HRE XI-XXVIIA pilot"
