"id","label","type","placeId","start","end","description","openatlasClass"
"event-ecr-xvii-record-context","ECR-XVII English coronation record context","documentary_record","place-westminster-abbey","S.d.","S.d.","The inventory of the regalia, compiled by Sporley, a monk of Westminster {fl. circa 1450) is found in a list of relics at Westminster Abbey, made in the middle of the fifteenth century. All the sacerdotal vestments are mentioned, and the royal ornaments, with the exception of the ring. The golden sceptre is doubtless the sceptre with the cross, the wooden rod, the rod with the dove, and the iron rod may possibly be St. Edward's staff. The comb of St. Edward is here mentioned, as also a spoon for unction. The chalice of St. Edward is said to be of onyx stone, with a foot, rivets, and paten of the best gold. W.= Westminster: Chapter Library, MS. Catalogue, p. 32, lohannis Fkete monachi Westmonasteriensis capitulum xiiii. no foliation, a contemporary copy of the inventory.","E5 Event"
"event-ms-ecr-xvii-src-source","SRC source/witness context","source_reference","repo-london-british-library","medieval to early modern","medieval to early modern","Geographic anchor added to enable map display for ECR entries lacking explicit repository geodata.","E5 Event"
