"id","siglum","shelfmark","repositoryPlaceId","currentRepository","lat","lon","date","folios","group","origin","witnessType","sourceLabel","digitalUrl","iiifUrl","description","bibliography","openatlasClass","systemClass"
"ms-hre-vii-src","SRC","Verden, source tradition anchor","place-verden-source-tradition-anchor","Verden, source tradition anchor","52.9234","9.2344","1039/46","","reference","Verden diocesan context","reference","","","","Geographic anchor inferred from HRE source dateline place: Diocese of Verden.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-vii-a","A","Bamberg, Staatsbibliothek, Msc. Lit. 59","repo-bamberg-staatsbibliothek","Bamberg, Staatsbibliothek","49.8917","10.886","11th century","fols. 85v-89v","A","Verden diocesan context","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
