"subject","predicate","object","certainty","source"
"ms-hre-i-a9","located_at","repo-troyes-bm","certain","HRE-I pilot"
"ms-hre-i-a9","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-a9","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-a9","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-b1","certain","HRE-I pilot"
"ms-hre-i-b1","has_event","event-ms-hre-i-b1-copy","certain","HRE-I pilot"
"ms-hre-i-b1","located_at","repo-montecassino","certain","HRE-I pilot"
"ms-hre-i-b1","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-b1","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-b1","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-b2","certain","HRE-I pilot"
"ms-hre-i-b2","has_event","event-ms-hre-i-b2-copy","certain","HRE-I pilot"
"ms-hre-i-b2","located_at","repo-rome-vallicelliana","certain","HRE-I pilot"
"ms-hre-i-b2","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-b2","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-b2","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-b3","certain","HRE-I pilot"
"ms-hre-i-b3","has_event","event-ms-hre-i-b3-copy","certain","HRE-I pilot"
"ms-hre-i-b3","located_at","repo-venice-marciana","certain","HRE-I pilot"
"ms-hre-i-b3","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-b3","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-b3","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-b4","certain","HRE-I pilot"
"ms-hre-i-b4","has_event","event-ms-hre-i-b4-copy","certain","HRE-I pilot"
"ms-hre-i-b4","located_at","repo-paris-bnf","certain","HRE-I pilot"
"ms-hre-i-b4","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-b4","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-b4","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-c1","certain","HRE-I pilot"
"ms-hre-i-c1","has_event","event-ms-hre-i-c1-copy","certain","HRE-I pilot"
"ms-hre-i-c1","located_at","repo-bamberg-staatsbibliothek","certain","HRE-I pilot"
"ms-hre-i-c1","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-c1","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-c1","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-c2","certain","HRE-I pilot"
"ms-hre-i-c2","has_event","event-ms-hre-i-c2-copy","certain","HRE-I pilot"
"ms-hre-i-c2","located_at","repo-bamberg-staatsbibliothek","certain","HRE-I pilot"
"ms-hre-i-c2","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-c2","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-c2","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-c3","certain","HRE-I pilot"
"ms-hre-i-c3","has_event","event-ms-hre-i-c3-copy","certain","HRE-I pilot"
"ms-hre-i-c3","located_at","repo-london-british-library","certain","HRE-I pilot"
"ms-hre-i-c3","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-c3","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-c3","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-c4","certain","HRE-I pilot"
"ms-hre-i-c4","has_event","event-ms-hre-i-c4-copy","certain","HRE-I pilot"
"ms-hre-i-c4","located_at","repo-wolfenbuettel-hab","certain","HRE-I pilot"
"ms-hre-i-c4","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-c4","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-c4","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-d1","certain","HRE-I pilot"
"ms-hre-i-d1","has_event","event-ms-hre-i-d1-copy","certain","HRE-I pilot"
"ms-hre-i-d1","located_at","repo-berlin-staatsbibliothek","certain","HRE-I pilot"
"ms-hre-i-d1","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-d1","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-d2","certain","HRE-I pilot"
"ms-hre-i-d2","has_event","event-ms-hre-i-d2-copy","certain","HRE-I pilot"
"ms-hre-i-d2","located_at","repo-london-british-library","certain","HRE-I pilot"
"ms-hre-i-d2","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-d2","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-nv1","certain","HRE-I pilot"
"ms-hre-i-nv1","has_event","event-ms-hre-i-nv1-copy","certain","HRE-I pilot"
"ms-hre-i-nv1","located_at","repo-dresden-slub","certain","HRE-I pilot"
"ms-hre-i-nv1","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-nv1","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-nv1","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-nv2","certain","HRE-I pilot"
"ms-hre-i-nv2","has_event","event-ms-hre-i-nv2-copy","certain","HRE-I pilot"
"ms-hre-i-nv2","located_at","repo-engelberg-abbey","certain","HRE-I pilot"
"ms-hre-i-nv2","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-nv2","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-nv2","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-nv3","certain","HRE-I pilot"
"ms-hre-i-nv3","has_event","event-ms-hre-i-nv3-copy","certain","HRE-I pilot"
"ms-hre-i-nv3","located_at","repo-paris-bnf","certain","HRE-I pilot"
"ms-hre-i-nv3","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-nv3","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-nv3","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-nv4","certain","HRE-I pilot"
"ms-hre-i-nv4","has_event","event-ms-hre-i-nv4-copy","certain","HRE-I pilot"
"ms-hre-i-nv4","located_at","repo-vitry-bm","certain","HRE-I pilot"
"ms-hre-i-nv4","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-nv4","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-nv4","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-nv5","certain","HRE-I pilot"
"ms-hre-i-nv5","has_event","event-ms-hre-i-nv5-copy","certain","HRE-I pilot"
"ms-hre-i-nv5","located_at","repo-vatican-bav","certain","HRE-I pilot"
"ms-hre-i-nv5","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-nv5","associated_with","actor-bav","certain","HRE-I pilot"
"ms-hre-i-nv5","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-nv5","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-nv5","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
