"subject","predicate","object","certainty","source"
"HRE-XVIIIA","belongs_to_tradition","tradition-hre","certain","HRE XI-XXVIIA pilot"
"HRE-XVIIIA","edited_by","actor-reinhard-elze","certain","HRE XI-XXVIIA pilot"
"HRE-XVIIIA","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"HRE-XVIIIA","preserved_in","ms-hre-xviiia-src","certain","HRE XI-XXVIIA pilot"
"ms-hre-xviiia-src","has_event","event-ms-hre-xviiia-src-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xviiia-src","located_at","repo-vatican-bav","certain","HRE XI-XXVIIA pilot"
"ms-hre-xviiia-src","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"ms-hre-xviiia-src","associated_with","actor-hre-imperial-tradition","probable","HRE XI-XXVIIA pilot"
"ms-hre-xviiia-src","associated_with","actor-rome-papal-curia-context","derived","HRE XI-XXVIIA pilot"
