"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-leopold-legg","Leopold G. Wickham Legg","E21 Person","actor","editor","editor of English Coronation Records",""
"actor-english-coronation-tradition","English coronation tradition","E74 Group","actor","institution","ritual and documentary tradition","place-westminster-abbey"
"actor-westminster-abbey","Westminster Abbey","E74 Group","actor","institution","coronation church / institutional context","place-westminster-abbey"
