"id","label","type","placeId","start","end","description","openatlasClass"
"event-ecr-viii-record-context","ECR-VIII English coronation record context","documentary_record","place-westminster-abbey","S.d.","S.d.","In the account of the coronation of Eleanor of Provence, wife of Henry III., printed below from the Red Book of the Exchequer and, where this is illegible, from a manuscript in the British Museum (Harg. 313, fo. 132^), we come across what appears to be the origin of the Court of Claims, held before each coronation (see Introduction 搂 73.) Several details of the coronation procession are given, in addition to those which are mentioned in the account of the coronation of Richard I. The sword Curtana is mentioned by name, and it is related that it was carried by the Earl of Huntingdon as Earl of Chester. The other two swords are carried by the Earl of Lincoln, a nominee of the King's, instead of the Earl of Huntingdon, who claimed it; and by the Earl of Warwick in his own right. The chancellor carrying the stone chalice of St. Edward, by a right which belonged to him "" of old,"" and the treasurer carrying the paten, are both mentioned as going in front of the King. It is noticeable that, whereas in the Liber regalis he is in pontificalibus, the treasurer wears a dalmatic, probably because he was not a bishop in 1236. The position of the sceptre and rod in the procession is uncertain. They are described as regem precedentia, but this does not show whether they came behind or before the three swords, as at the coronation of Richard I. From their position in the document it appears more likely that they were carried before the swords, as the description begins with the stone chalice and paten. The swords before them are next mentioned, and then the sceptre and rod. The King had been crowned some twenty years before, and consequently he wore his crown. The canopy over him, as well as that over the Queen, was, we are expressly told, earned by sixteen barons of the Cinque Ports, four to each staff; and it was made of purple silk, and was supported on four silvered staves with silver gilt bells at the corners. The cloth on which the King and the procession walked is now definitely stated to be the ray cloth or "" burrell,"" and it was spread by William de Beauchamp of Bedford, as almoner. In the account of the coronation breakfast there appear several hereditary officers in addition to those already mentioned. The Earl of Leicester appears as hereditary steward; Henry de Hastings serves as napier; Walter de Beauchamp appears as panneter; and Hugh de Albini was hereditary Buder. The City of London, which had served in butlery at the coronation of Richard I., is set aside in favour of Master Michael Belet. Hugh de Vere, Earl of Oxford, was Great Chamberlain, and Gilbert, Earl of Strigul, was the Marshal. The document is full of expressions which reappear later in the rubrics of the Liber regalis. Such, for instance, is the description of the carrying of the three swords, and of the canopy over the King. It ends with a disquisition on what aurum reginae may be, and sums up in favour of a payment of ten per cent, to the Queen on every fine of ten marks and upwards. In The Dialogus de Scaccario (\\h. ii. chap, xxvi.) the Magister apparently favours the theory that it is a payment of one per cent, on every fine of a hundred marks and upwards, but adds that the matter is unsettled. (William Stubbs, Select Charters, Oxford, 1895, pp. 244, 245.) The instance given in the document of the payment made by 58 Coronation of Eleanor of Provence [vin. the Abbot of Reading, seems conclusive as to what the tax was considered to be in the time of King John. This document was considered by the various Courts of Claims as containing the most important evidence on the rights of the various claimants at the coronations. The name of the father of Queen Eleanor was not Hugh, but Raymond Berengar IV. *of Provence.","E5 Event"
"event-ms-ecr-viii-src-source","SRC source/witness context","source_reference","repo-london-british-library","medieval to early modern","medieval to early modern","Geographic anchor added to enable map display for ECR entries lacking explicit repository geodata.","E5 Event"
