"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-leopold-legg","Leopold G. Wickham Legg","E21 Person","actor","editor","editor of English Coronation Records",""
"actor-english-coronation-tradition","English coronation tradition","E74 Group","actor","institution","ritual and documentary tradition","place-westminster-abbey"
"actor-westminster-abbey","Westminster Abbey","E74 Group","actor","institution","coronation church / institutional context","place-westminster-abbey"
"actor-aidan-dalriada","Áedán mac Gabráin / King Aidan","E21 Person","actor","person","king in earliest consecration narrative",""
"actor-columba","St Columba","E21 Person","actor","person","saint / consecrating figure",""
"actor-adamnan","Adomnán of Iona","E21 Person","actor","person","source author for Life of Columba",""
"actor-british-library","British Library","E74 Group","actor","institution","repository institution / source context","repo-london-british-library"
