"subject","predicate","object","certainty","source"
"HRE-XXI","belongs_to_tradition","tradition-hre","certain","HRE XI-XXVIIA pilot"
"HRE-XXI","edited_by","actor-reinhard-elze","certain","HRE XI-XXVIIA pilot"
"HRE-XXI","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"HRE-XXI","preserved_in","ms-hre-xxi-src","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxi-src","has_event","event-ms-hre-xxi-src-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxi-src","located_at","repo-vatican-bav","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxi-src","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxi-src","associated_with","actor-hre-imperial-tradition","probable","HRE XI-XXVIIA pilot"
"ms-hre-xxi-src","associated_with","actor-rome-papal-curia-context","derived","HRE XI-XXVIIA pilot"
