"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-bnf","Bibliothèque nationale de France (BnF)","E74 Group","actor","institution","repository institution / digital provider","repo-paris-bnf",""
"actor-leopold-delisle","Léopold Delisle","E21 Person","actor","editor","scholar / bibliographic authority","place-paris",""
"actor-ripoll","Monastery of Ripoll","E74 Group","actor","institution","monastic scriptorium / origin context","place-monastery-of-ripoll",""
"actor-tours-church","Tours ecclesiastical milieu","E74 Group","actor","institution","liturgical/sacramentary context","place-tours",""
"actor-victor-leroquais","Victor Leroquais","E21 Person","actor","editor","cataloguer / scholar","place-paris",""
