"id","siglum","label","openatlasClass","systemClass","type","witnessType","shelfmark","folios","date","origin","currentRepositoryId","currentRepository","copiedFrom","digitalUrl","iiifUrl","sourceLabel","description","bibliography"
"ms-ocf-xi-a","A","A — Paris, BnF, MS lat. 9430","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 9430","fols. 191v-192r","ca. 1000","Tours","repo-paris-bnf","Paris, BnF","","https://archivesetmanuscrits.bnf.fr/ark:/12148/cc38708p","","BnF Archives et manuscrits / Paris, BnF, MS lat. 9430","Part of the second sacramentary of Tours. Ordo XIA, nos. 1-5.","Delisle, 'Memoire,' 130-40; Leroquais, Sacramentaires, 1: 43-53, nos. 16-17; Henri Leclerc, 'Tours' (DACL 15.2, 1953), 2667-71; Martimort, 385, no. 773"
"ms-ocf-xi-b","B","B — Barcelona, Archivo de la Corona de Aragon, MS Ripoll 40","E22 Human-Made Object","artifact","manuscript_witness","primary","Barcelona, Archivo de la Corona de Aragon, MS Ripoll 40","fol. 4v","11th century","Monastery of Ripoll","repo-barcelona-archivo-de-la-corona-de-aragon","Barcelona, Archivo de la Corona de Aragon","","https://pares.mcu.es/ParesBusquedas20/catalogo/show/2334950","","PARES / Barcelona, ACA, MS Ripoll 40","Ordo XIB only (no. 6). Eleventh-century copy in a mixed collection; not copied by the same scribe as the episcopal petitio and Carloman's promissio (Ordo X).",""
"ms-ocf-xi-c","C","C — Paris, BnF, MS Baluze 1","E22 Human-Made Object","artifact","manuscript_witness","copy","Paris, BnF, MS Baluze 1","fol. 25r","17th century","","repo-paris-bnf","Paris, BnF","","","","","From B (rather than directly from the lost original, contra Bautier).","Auvray and Poupardin, Manuscrits de la collection Baluze, 1-3"
"ms-ocf-xi-d","D","D — Paris, BnF, MS nouv. acq. fr. 22211","E22 Human-Made Object","artifact","manuscript_witness","copy","Paris, BnF, MS nouv. acq. fr. 22211","fol. 60r","18th century","","repo-paris-bnf","Paris, BnF","","","","","No. 6 only. Perhaps from C, but more likely from d or f in the printed tradition.","Henri Omont, Catalogue general des manuscrits francais: Nouvelles acquisitions francaises, 4:393"
