"id","label","manuscriptId","fromPlaceId","toPlaceId","start","end","certainty","type"
"move-ms-ocf-xi-a-tours-to-paris-bnf","A: Tours → Paris, BnF","ms-ocf-xi-a","place-tours","repo-paris-bnf","ca. 1000","","probable","manuscript_dispersal"
"move-ms-ocf-xi-b-monastery-of-ripoll-to-barcelona-archivo-de-la-corona-de-aragon","B: Monastery of Ripoll → Barcelona, Archivo de la Corona de Aragon","ms-ocf-xi-b","place-monastery-of-ripoll","repo-barcelona-archivo-de-la-corona-de-aragon","11th century","","probable","manuscript_dispersal"
