"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-leopold-legg","Leopold G. Wickham Legg","E21 Person","actor","editor","editor of English Coronation Records",""
"actor-english-coronation-tradition","English coronation tradition","E74 Group","actor","institution","ritual and documentary tradition","place-westminster-abbey"
"actor-westminster-abbey","Westminster Abbey","E74 Group","actor","institution","coronation church / institutional context","place-westminster-abbey"
"actor-ethelred-ii","Æthelred II","E21 Person","actor","person","royal attribution / recension label",""
"actor-henry-i","Henry I","E21 Person","actor","person","royal coronation context",""
"actor-canterbury","Archbishopric of Canterbury","E74 Group","actor","institution","claimant/coronation authority","place-canterbury"
"actor-british-library","British Library","E74 Group","actor","institution","repository institution / source context","repo-london-british-library"
