"id","siglum","label","openatlasClass","systemClass","type","witnessType","shelfmark","folios","date","origin","currentRepositoryId","currentRepository","copiedFrom","digitalUrl","iiifUrl","sourceLabel","description","bibliography"
"ms-ocf-x-a","A","A — Barcelona, Archivo de la Corona de Aragon, MS Ripoll 40","E22 Human-Made Object","artifact","manuscript_witness","primary","Barcelona, Archivo de la Corona de Aragon, MS Ripoll 40","fol. 29r","11th century","Monastery of Ripoll","repo-barcelona-archivo-de-la-corona-de-aragon","Barcelona, Archivo de la Corona de Aragon","","https://pares.mcu.es/ParesBusquedas20/catalogo/description/2334950","","PARES / Archivo de la Corona de Aragon","Primary witness for the petitio and promissio of Carloman (9 September 882).",""
"ms-ocf-x-b","B","B — Paris, BnF, MS Baluze 1","E22 Human-Made Object","artifact","manuscript_witness","copy","Paris, BnF, MS Baluze 1","fol. 25v","17th century","","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b9001314p","https://gallica.bnf.fr/iiif/ark:/12148/btv1b9001314p/manifest.json","Biblissima / BnF Baluze 1 (fol. 25v)","Seventeenth-century copy of manuscript A (Ripoll 40).",""
