"id","siglum","shelfmark","repositoryPlaceId","currentRepository","lat","lon","date","folios","group","origin","witnessType","sourceLabel","digitalUrl","iiifUrl","description","bibliography","openatlasClass","systemClass"
"ms-hre-xvii-src","SRC","Rome (Curia / Vatican), source tradition anchor","repo-vatican-bav","Rome (Curia / Vatican), source tradition anchor","41.904","12.4545","late 12th century","","reference","Rome / Papal Curia context","reference","","","","Geographic anchor inferred from HRE source dateline place: Curia.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-xvii-a","A","Vatican City, BAV, Vat. lat. 4746","repo-vatican-bav","Biblioteca Apostolica Vaticana","41.904","12.4545","late 12th century","","manuscript","Rome (Papal Curia)","primary","","https://digi.vatlib.it/view/MSS_Vat.lat.4746","https://digi.vatlib.it/iiif/MSS_Vat.lat.4746/manifest.json","Principal witness for the Staufen Ordo (HRE-XVII).","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
