"subject","predicate","object","certainty","source"
"HRE-XXIV","belongs_to_tradition","tradition-hre","certain","HRE XI-XXVIIA pilot"
"HRE-XXIV","edited_by","actor-reinhard-elze","certain","HRE XI-XXVIIA pilot"
"HRE-XXIV","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"HRE-XXIV","preserved_in","ms-hre-xxiv-src","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxiv-src","has_event","event-ms-hre-xxiv-src-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxiv-src","located_at","repo-vatican-bav","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxiv-src","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"ms-hre-xxiv-src","associated_with","actor-hre-imperial-tradition","probable","HRE XI-XXVIIA pilot"
"ms-hre-xxiv-src","associated_with","actor-rome-papal-curia-context","derived","HRE XI-XXVIIA pilot"
