"subject","predicate","object","certainty","source"
"HRE-XII","belongs_to_tradition","tradition-hre","certain","HRE XI-XXVIIA pilot"
"HRE-XII","edited_by","actor-reinhard-elze","certain","HRE XI-XXVIIA pilot"
"HRE-XII","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"HRE-XII","preserved_in","ms-hre-xii-src","certain","HRE XI-XXVIIA pilot"
"ms-hre-xii-src","has_event","event-ms-hre-xii-src-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xii-src","located_at","place-bari-apulia-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xii-src","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"ms-hre-xii-src","associated_with","actor-hre-imperial-tradition","probable","HRE XI-XXVIIA pilot"
"ms-hre-xii-src","associated_with","actor-bari-apulia-context","derived","HRE XI-XXVIIA pilot"
