"id","siglum","displaySiglum","label","openatlasClass","systemClass","type","witnessType","shelfmark","folios","date","origin","currentRepositoryId","currentRepository","copiedFrom","digitalUrl","iiifUrl","sourceLabel","description","bibliography"
"ms-ocf-xxiii-a","A","A","A — London, British Library, MS Cotton Tiberius B.viii","E22 Human-Made Object","artifact","manuscript_witness","primary","London, British Library, MS Cotton Tiberius B.viii","fols. 43r–4v","1365 (13 April 1365” April 1366)","Paris (for Charles V, royal library)","repo-london-british-library","London, British Library","","https://portail.biblissima.fr/ark:/43093/mdata1f640af7b55e4c5e48254969500d754e0eba1c56","","Biblissima IIIF","The Coronation Book (Livre du sacre) of Charles V. Over 40 miniatures. Signed by the king on fol. 74v. Taken to England by Duke of Bedford after 1427. Incomplete: missing leaves between fols. 48v–9r and 53v–4r. Base text.","Dewick, Coronation Book, xi–xii; Sherman, 'The Queen in Charles V's Coronation Book' (1977)"
"ms-ocf-xxiii-b","B","B","B — Paris, BnF, MS lat. 8886","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 8886","fols. 62v–3v","Early 15th century","Bayeux (pontifical) / for Jean, Duke of Berry","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b84516106","","Gallica / BnF","Magnificent pontifical. Given to Sainte-Chapelle in Bourges 1405–7. Not copied from A.",""
"ms-ocf-xxiii-c","C","C","C — Paris, BnF, MS lat. 9479","E22 Human-Made Object","artifact","manuscript_witness","secondary","Paris, BnF, MS lat. 9479","fols. 213r–19r","Early 15th century (before 1427/1435)","Arles (pontifical, with addition)","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b9067004s","","Gallica / BnF","Queen's ordo only (nos. 87–08). Copied from A.",""
"ms-ocf-xxiii-d","D","D","D — London, British Library, MS Additional 32097","E22 Human-Made Object","artifact","manuscript_witness","primary","London, British Library, MS Additional 32097","fols. 150v–61v","15th century","","repo-london-british-library","London, British Library","","","","","Copied from lost MS 1 or 2.",""
"ms-ocf-xxiii-e","E","E","E — Paris, BnF, MS Dupuy 365","E22 Human-Made Object","artifact","manuscript_witness","secondary","Paris, BnF, MS Dupuy 365","fols. 28r–4r","15th century, third quarter","","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b10034215c","","Gallica / BnF","Copied from B.",""
"ms-ocf-xxiii-f","F","F","F — Paris, Archives de Saint-Sulpice, MS 1928","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, Archives de Saint-Sulpice, MS 1928","fols. 57r–8r","ca. 1480","Noyon (for Bishop Guillaume de Marafin, 1473–501)","repo-paris-archives-de-saint-sulpice","Paris, Archives de Saint-Sulpice","","","","","Copied from livre rouge (lost MS 4). Later collated with livre rouge, with marginal additions. Important witness to lost MS.",""
"ms-ocf-xxiii-g","G","G","G — Paris, BnF, MS lat. 13314","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 13314","fols. 3r–4r","1530–535","Beauvais (for Bishop Charles de Villiers-de-l'Isle-Adam)","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b10720778b","","Gallica / BnF","Copied from livre rouge. King's ordo only. Best copy of the three witnesses to the livre rouge.",""
