"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-leopold-legg","Leopold G. Wickham Legg","E21 Person","actor","editor","editor of English Coronation Records",""
"actor-english-coronation-tradition","English coronation tradition","E74 Group","actor","institution","ritual and documentary tradition","place-westminster-abbey"
"actor-westminster-abbey","Westminster Abbey","E74 Group","actor","institution","coronation church / institutional context","place-westminster-abbey"
"actor-henry-ii","Henry II","E21 Person","actor","person","royal coronation context",""
"actor-alexander-iii","Pope Alexander III","E21 Person","actor","person","papal actor",""
"actor-roger-york","Roger de Pont l'Évêque, Archbishop of York","E21 Person","actor","person","archiepiscopal actor",""
"actor-thomas-becket","Thomas Becket","E21 Person","actor","person","Archbishop of Canterbury",""
"actor-canterbury","Archbishopric of Canterbury","E74 Group","actor","institution","claimant/coronation authority","place-canterbury"
"actor-york","Archbishopric of York","E74 Group","actor","institution","rival/participating coronation authority","place-york"
