"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-jacques-sirmond","Jacques Sirmond","E21 Person","actor","editor","early modern editor / user of lost witness","place-paris",""
"actor-saint-laurent-liege","Monastery of Saint-Laurent, Liège","E74 Group","actor","institution","lost witness context","repo-lie-ge-monastery-of-saint-laurent-lost",""
