"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-sainte-genevieve-library","Bibliothèque Sainte-Geneviève","E74 Group","actor","institution","repository institution","repo-paris-bibl-sainte-genevieve",""
"actor-victor-leroquais","Victor Leroquais","E21 Person","actor","editor","cataloguer / scholar","place-paris",""
