"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-saint-thierry","Abbey of Saint-Thierry near Reims","E74 Group","actor","institution","monastic scriptorium / origin context","place-saint-thierry-near-reims",""
"actor-bnf","Bibliothèque nationale de France (BnF)","E74 Group","actor","institution","repository institution / digital provider","repo-paris-bnf",""
"actor-biblissima","Biblissima","E74 Group","actor","source","digital source aggregator","",""
"actor-iiif","IIIF","E74 Group","actor","source","image/service reference","",""
"actor-leopold-delisle","Léopold Delisle","E21 Person","actor","editor","scholar / bibliographic authority","place-paris",""
"actor-reims-cathedral","Reims Cathedral / Chapter Library","E74 Group","actor","institution","cathedral repository / coronation center","place-reims",""
"actor-victor-leroquais","Victor Leroquais","E21 Person","actor","editor","cataloguer / scholar","place-paris",""
