"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-bav","Biblioteca Apostolica Vaticana","E74 Group","actor","institution","repository institution / digital provider","repo-vatican-city-bav",""
"actor-genoa-university-library","Biblioteca Universitaria di Genova","E74 Group","actor","institution","repository institution","repo-genoa-biblioteca-universitaria",""
"actor-cambrai-church","Cambrai ecclesiastical milieu","E74 Group","actor","institution","adaptation / use context","place-cambrai",""
"actor-wolfenbuettel-hab","Herzog August Bibliothek Wolfenbüttel","E74 Group","actor","institution","repository institution / digital provider","repo-wolfenbuettel-herzog-august-bibl",""
"actor-iiif","IIIF","E74 Group","actor","source","image/service reference","",""
"actor-koninklijke-bibliotheek","Koninklijke Bibliotheek, The Hague","E74 Group","actor","institution","repository institution","repo-the-hague-koninklijke-bibliotheek",""
"actor-chantilly-conde","Musée Condé, Chantilly","E74 Group","actor","institution","repository institution","repo-chantilly-musee-conde",""
"actor-reims-cathedral","Reims Cathedral / Chapter Library","E74 Group","actor","institution","cathedral repository / coronation center","place-reims",""
"actor-saint-martin-tournai","Saint-Martin of Tournai","E74 Group","actor","institution","monastic / diocesan context","place-saint-martin-of-tournai",""
