"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-bsb","Bayerische Staatsbibliothek","E74 Group","actor","institution","repository institution / digital provider","repo-munich-bayerische-staatsbibl",""
"actor-freising-church","Freising ecclesiastical milieu","E74 Group","actor","institution","liturgical/sacramentary context","place-freising",""
