"id","label","openatlasClass","systemClass","type","url","description"
"ref-ms-ocf-iv-a-bib-1","Amiet (ed. c), 23–0","E31 Document","reference","edition","","Bibliographic reference for Munich, Bayerische Staatsbibl., MS Clm. 6430."
"ref-ms-ocf-iv-a-digital","Bayerische Staatsbibliothek Digitale Sammlungen: Munich, Bayerische Staatsbibl., MS Clm. 6430","E31 Document","reference","digital_facsimile","https://www.digitale-sammlungen.de/en/view/bsb00046285?q=%22pok%22&page=64","Digital source for Munich, Bayerische Staatsbibl., MS Clm. 6430."
